location_name,min_lon,min_lat,max_lon,max_lat,date_added,downloaded,limit
brandenburg_gate,13.3777,52.5163,13.3787,52.5173,2025-08-08,yes,1
grunewald1,13.1942,52.4552,13.2543,52.5000,2025-08-14,yes,60
duebblerforst,13.0906,52.4185,13.1511,52.4407,2025-08-14,yes,60
doeberitzer,12.9862,52.4621,13.0960,52.5302,2025-08-14,yes,60
koenigsweg,13.1496,52.3955,13.1804,52.4172,2025-08-14,yes,60
basdorf,13.4502,52.6793,13.5429,52.7407,2025-08-14,yes,60
lobetal1,13.5463,52.7158,13.5877,52.7531,2025-08-14,yes,60
biesenthaler,13.5872,52.7266,13.6349,52.7622,2025-08-14,yes,60
melchow,13.6524,52.7754,13.7729,52.8229,2025-08-14,yes,60
biesenthaler2,13.7782,52.7850,13.8747,52.8214,2025-08-21,yes,60
gielsdorf,13.8627,52.6049,13.9808,52.6839,2025-08-21,yes,60
buckow,14.0306,52.5419,14.1830,52.6022, 2025-08-21,yes,60
loecknitztal,13.8479,52.4059,13.9223,52.4331, 2025-08-21,yes,60
friedersdorfer,13.6790,52.3268,13.7460,52.3556, 2025-08-21,yes,60
